"","Tipo.Titulo","Data.Vencimento","Data.Base","Taxa.Compra.Manha","Taxa.Venda.Manha","PU.Compra.Manha","PU.Venda.Manha","PU.Base.Manha"
"1","Tesouro Prefixado","01/01/2011","29/01/2010",10.34,10.38,913.75,913.44,913.09
"2","Tesouro Prefixado","01/01/2011","26/02/2010",10.43,10.47,919.56,919.28,918.91
"3","Tesouro Prefixado","01/01/2011","31/03/2010",10.37,10.41,928.3,928.05,927.68
"4","Tesouro Prefixado","01/01/2011","30/04/2010",11.01,11.05,931.96,931.73,931.34
"5","Tesouro Prefixado","01/01/2011","31/05/2010",11,11.04,940.16,939.95,939.56
"6","Tesouro Prefixado","01/01/2011","30/06/2010",11.34,11.38,946.9,946.72,946.32
"7","Tesouro Prefixado","01/01/2011","30/07/2010",10.83,10.86,957.66,957.56,957.16
"8","Tesouro Prefixado","01/01/2011","31/08/2010",10.73,10.76,966.59,966.5,966.11
"9","Tesouro Prefixado","01/01/2011","30/09/2010",10.69,10.72,974.92,974.86,974.46
"11","Tesouro Prefixado","01/01/2011","29/10/2010",10.71,10.74,982.78,982.74,982.34
"12","Tesouro Prefixado","01/01/2011","30/11/2010",10.76,10.79,990.71,990.69,990.28
"13","Tesouro Prefixado","01/01/2011","29/12/2010",10.64,10.67,999.19,999.19,998.79
"14","Tesouro Prefixado","01/01/2012","31/01/2011",12.45,12.49,898.44,898.14,897.72
"15","Tesouro Prefixado","01/01/2012","28/02/2011",12.67,12.71,905.37,905.1,904.67
"16","Tesouro Prefixado","01/01/2012","31/03/2011",12.17,12.21,917.47,917.22,916.8
"17","Tesouro Prefixado","01/01/2012","29/04/2011",12.39,12.43,924.22,924,923.57
"18","Tesouro Prefixado","01/01/2012","31/05/2011",12.42,12.46,933.55,933.35,932.92
"19","Tesouro Prefixado","01/01/2012","30/06/2011",12.52,12.56,942.28,942.11,941.67
"20","Tesouro Prefixado","01/01/2012","29/07/2011",12.52,12.55,951.59,951.48,951.03
"21","Tesouro Prefixado","01/01/2012","31/08/2011",11.99,12.02,963.38,963.3,962.87
"22","Tesouro Prefixado","01/01/2012","30/09/2011",11.2,11.23,974.21,974.15,973.74
"23","Tesouro Prefixado","01/01/2012","31/10/2011",11.2,11.23,982.46,982.41,982
"24","Tesouro Prefixado","01/01/2012","30/11/2011",10.93,10.96,990.98,990.96,990.55
"25","Tesouro Prefixado","01/01/2012","30/12/2011",10.92,10.95,1000.41,1000.41,999.58
"26","Tesouro Prefixado","01/01/2013","31/01/2012",9.58,9.62,920.22,919.92,919.58
"28","Tesouro Prefixado","01/01/2013","29/02/2012",9.36,9.4,928.14,927.86,927.53
"30","Tesouro Prefixado","01/01/2013","30/03/2012",9.01,9.05,937.66,937.41,937.08
"32","Tesouro Prefixado","01/01/2013","30/04/2012",8.34,8.38,947.99,947.76,947.46
"34","Tesouro Prefixado","01/01/2013","31/05/2012",8.07,8.11,956.03,955.82,955.53
"36","Tesouro Prefixado","01/01/2013","29/06/2012",7.65,7.69,963.81,963.63,963.35
"37","Tesouro Prefixado","01/01/2013","31/07/2012",7.42,7.45,970.89,970.78,970.5
"38","Tesouro Prefixado","01/01/2013","31/08/2012",7.32,7.35,977.54,977.46,977.18
"39","Tesouro Prefixado","01/01/2013","28/09/2012",7.32,7.35,982.76,982.7,982.42
"40","Tesouro Prefixado","01/01/2013","31/10/2012",7.14,7.17,989.11,989.06,988.79
"42","Tesouro Prefixado","01/01/2013","30/11/2012",7.18,7.21,994.51,994.48,994.21
"44","Tesouro Prefixado","01/01/2013","28/12/2012",7.15,7.18,999.72,999.72,999.44
"45","Tesouro Prefixado","01/01/2014","31/01/2013",7.23,7.27,938.01,937.69,937.43
"47","Tesouro Prefixado","01/01/2014","28/02/2013",7.83,7.87,938.26,937.97,937.69
"48","Tesouro Prefixado","01/01/2014","28/03/2013",7.8,7.84,944.1,943.83,943.54
"49","Tesouro Prefixado","01/01/2014","30/04/2013",7.98,8.02,949.23,948.99,948.7
"50","Tesouro Prefixado","01/01/2014","31/05/2013",8.17,8.21,954.32,954.11,953.82
"51","Tesouro Prefixado","01/01/2014","28/06/2013",8.95,8.99,956.74,956.56,956.23
"52","Tesouro Prefixado","01/01/2014","31/07/2013",8.92,8.95,964.37,964.25,963.92
"53","Tesouro Prefixado","01/01/2014","30/08/2013",9.37,9.4,970.24,970.15,969.8
"55","Tesouro Prefixado","01/01/2014","30/09/2013",9.42,9.45,977.39,977.32,976.97
"56","Tesouro Prefixado","01/01/2014","31/10/2013",9.68,9.71,985.07,985.03,984.67
"57","Tesouro Prefixado","01/01/2014","29/11/2013",9.95,9.98,992.12,992.1,991.72
"58","Tesouro Prefixado","01/01/2014","31/12/2013",9.92,9.95,999.62,999.62,999.62
"60","Tesouro Prefixado","01/01/2015","31/01/2014",11.73,11.77,903.32,903.02,902.63
"61","Tesouro Prefixado","01/01/2015","28/02/2014",11.06,11.1,915.91,915.63,915.25
"63","Tesouro Prefixado","01/01/2015","31/03/2014",11.19,11.23,922.36,922.11,921.72
"65","Tesouro Prefixado","01/01/2015","30/04/2014",11.09,11.13,930.73,930.5,930.11
"67","Tesouro Prefixado","01/01/2015","30/05/2014",10.96,11,939.58,939.38,938.99
"69","Tesouro Prefixado","01/01/2015","30/06/2014",10.88,10.92,947.72,947.54,947.16
"71","Tesouro Prefixado","01/01/2015","31/07/2014",10.87,10.9,956.74,956.62,956.23
"73","Tesouro Prefixado","01/01/2015","29/08/2014",10.88,10.91,964.97,964.88,964.48
"75","Tesouro Prefixado","01/01/2015","30/09/2014",11,11.03,973.44,973.37,972.96
"77","Tesouro Prefixado","01/01/2015","31/10/2014",11.3,11.33,982.31,982.27,981.85
"79","Tesouro Prefixado","01/01/2015","28/11/2014",11.53,11.56,990.51,990.49,990.06
"81","Tesouro Prefixado","01/01/2015","31/12/2014",11.69,11.72,999.12,999.12,999.56
"83","Tesouro Prefixado","01/01/2016","30/01/2015",12.7,12.74,897.04,896.75,896.33
"85","Tesouro Prefixado","01/01/2016","27/02/2015",13.14,13.18,901.79,901.52,901.08
"87","Tesouro Prefixado","01/01/2016","31/03/2015",13.57,13.61,908.97,908.73,908.27
"89","Tesouro Prefixado","01/01/2016","30/04/2015",13.52,13.56,918.47,918.25,917.79
"91","Tesouro Prefixado","01/01/2016","29/05/2015",13.79,13.83,926.46,926.26,925.79
"93","Tesouro Prefixado","01/01/2016","30/06/2015",14.27,14.31,934.48,934.32,933.82
"95","Tesouro Prefixado","01/01/2016","31/07/2015",14.18,14.21,946.24,946.14,945.64
"97","Tesouro Prefixado","01/01/2016","31/08/2015",14.3,14.33,956.42,956.34,955.83
"99","Tesouro Prefixado","01/01/2016","30/09/2015",14.48,14.51,966.75,966.69,966.17
"100","Tesouro Prefixado","01/01/2016","30/10/2015",14.24,14.27,978.05,978.01,977.49
"102","Tesouro Prefixado","01/01/2016","30/11/2015",14.18,14.21,988.49,988.46,987.94
