Tipo.Titulo;Data.Vencimento;Data.Base;Taxa.Compra.Manha;Taxa.Venda.Manha;PU.Compra.Manha;PU.Venda.Manha;PU.Base.Manha
Tesouro Prefixado;01/01/2013;29/01/2010;12,41;12,47;711,57;710,47;710,14
Tesouro Prefixado;01/01/2013;26/02/2010;12,06;12,12;723,92;722,82;722,49
Tesouro Prefixado;01/01/2013;31/03/2010;12,08;12,14;731,12;730,05;729,72
Tesouro Prefixado;01/01/2013;30/04/2010;12,58;12,64;729,07;728,03;727,69
Tesouro Prefixado;01/01/2013;31/05/2010;12,43;12,49;738,84;737,82;737,48
Tesouro Prefixado;01/01/2013;30/06/2010;12,22;12,28;749,59;748,58;748,24
Tesouro Prefixado;01/01/2013;30/07/2010;12,06;12,12;759,78;758,8;758,45
Tesouro Prefixado;01/01/2013;31/08/2010;11,7;11,76;773,13;772,17;771,83
Tesouro Prefixado;01/01/2013;30/09/2010;11,95;12,01;776,39;775,46;775,11
Tesouro Prefixado;01/01/2013;29/10/2010;11,97;12,03;783,08;782,17;781,82
Tesouro Prefixado;01/01/2013;30/11/2010;12,47;12,53;782,84;781,97;781,6
Tesouro Prefixado;01/01/2013;31/12/2010;12,34;12,4;793,1;792,26;791,89
Tesouro Prefixado;01/01/2014;31/01/2011;12,96;13,02;701,2;700,12;699,78
Tesouro Prefixado;01/01/2014;28/02/2011;12,8;12,86;710,87;709,8;709,46
Tesouro Prefixado;01/01/2014;31/03/2011;13,02;13,08;714,2;713,16;712,81
Tesouro Prefixado;01/01/2014;29/04/2011;12,78;12,84;724,93;723,9;723,55
Tesouro Prefixado;01/01/2014;31/05/2011;12,59;12,65;735,79;734,77;734,43
Tesouro Prefixado;01/01/2014;30/06/2011;12,69;12,75;741,44;740,46;740,1
Tesouro Prefixado;01/01/2014;29/07/2011;12,97;13,03;744,38;743,42;743,06
Tesouro Prefixado;01/01/2014;31/08/2011;11,34;11,4;778,63;777,65;777,32
Tesouro Prefixado;01/01/2014;30/09/2011;11,09;11,15;789,6;788,65;788,32
Tesouro Prefixado;01/01/2014;31/10/2011;10,85;10,91;799,96;799,03;798,7
Tesouro Prefixado;01/01/2014;30/11/2011;10,06;10,12;818,66;817,73;817,42
Tesouro Prefixado;01/01/2014;30/12/2011;10,59;10,65;817,65;816,76;816,43
Tesouro Prefixado;01/01/2015;31/01/2012;10,59;10,65;745,58;744,4;744,1
Tesouro Prefixado;01/01/2015;29/02/2012;10,39;10,45;755,13;753,97;753,67
Tesouro Prefixado;01/01/2015;30/03/2012;10,23;10,29;764,72;763,58;763,28
Tesouro Prefixado;01/01/2015;30/04/2012;9,48;9,54;784,86;783,71;783,43
Tesouro Prefixado;01/01/2015;31/05/2012;8,99;9,05;800,33;799,19;798,91
Tesouro Prefixado;01/01/2015;29/06/2012;8,6;8,66;813,09;811,96;811,7
Tesouro Prefixado;01/01/2015;31/07/2012;8,47;8,53;821,34;820,25;819,98
Tesouro Prefixado;01/01/2015;31/08/2012;8,52;8,58;826,57;825,51;825,24
Tesouro Prefixado;01/01/2015;28/09/2012;8,41;8,47;833,59;832,55;832,28
